Mes,Escenario,Cobros (€),Pagos Proveedores (€),OPEX Cash (€),CAPEX (€),Flujo Neto (€),Saldo Acumulado (€),Inventario Valorado (€),Cuentas por Cobrar (€),Working Capital Neto (€)
21,Conservador,19320.0,10530.0,39148.0,0.0,-30358.0,-521340.4,2632.5,21840.0,13942.5
22,Conservador,21000.0,11340.0,39148.0,0.0,-29488.0,-550828.4,2835.0,23520.0,15015.0
23,Conservador,22680.0,12150.0,39148.0,0.0,-28618.0,-579446.4,3037.5,25200.0,16087.5
24,Conservador,24360.0,12960.0,39148.0,0.0,-27748.0,-607194.4,3240.0,26880.0,17160.0
25,Conservador,26040.0,13770.0,39148.0,0.0,-26878.0,-634072.4,3442.5,28560.0,18232.5
26,Conservador,27720.0,14580.0,39148.0,0.0,-26008.0,-660080.4,3645.0,30240.0,19305.0
27,Conservador,29400.0,14985.0,39148.0,0.0,-24733.0,-684813.4,3746.25,31080.0,19841.25
28,Conservador,30660.0,15390.0,39148.0,0.0,-23878.0,-708691.4,3847.5,31920.0,20377.5
29,Conservador,31500.0,15795.0,39148.0,0.0,-23443.0,-732134.4,3948.75,32760.0,20913.75
30,Conservador,32340.0,16200.0,39148.0,0.0,-23008.0,-755142.4,4050.0,33600.0,21450.0
31,Conservador,33180.0,16605.0,39148.0,0.0,-22573.0,-777715.4,4151.25,34440.0,21986.25
32,Conservador,34020.0,17010.0,39148.0,0.0,-22138.0,-799853.4,4252.5,35280.0,22522.5
33,Conservador,34860.0,17010.0,39148.0,0.0,-21298.0,-821151.4,4252.5,35280.0,22522.5
34,Conservador,35280.0,17415.0,39148.0,0.0,-21283.0,-842434.4,4353.75,36120.0,23058.75
35,Conservador,35700.0,17820.0,39148.0,0.0,-21268.0,-863702.4,4455.0,36960.0,23595.0
36,Conservador,36540.0,18225.0,39148.0,0.0,-20833.0,-884535.4,4556.25,37800.0,24131.25
1,Base,0.0,910.0,19210.0,40000.0,-60120.0,259880.0,227.5,1400.0,717.5
2,Base,700.0,1456.0,19210.0,20000.0,-39966.0,219914.0,364.0,2240.0,1148.0
3,Base,1820.0,2184.0,19210.0,19500.0,-39074.0,180840.0,546.0,3360.0,1722.0
4,Base,2800.0,3276.0,19210.0,0.0,-19686.0,161154.0,819.0,5040.0,2583.0
5,Base,4200.0,4368.0,19210.0,0.0,-19378.0,141776.0,1092.0,6720.0,3444.0
6,Base,5880.0,5460.0,19210.0,0.0,-18790.0,122986.0,1365.0,8400.0,4305.0
7,Base,7560.0,6370.0,19210.0,0.0,-18020.0,104966.0,1592.5,9800.0,5022.5
8,Base,9100.0,7280.0,19210.0,0.0,-17390.0,87576.0,1820.0,11200.0,5740.0
9,Base,10500.0,8190.0,19210.0,0.0,-16900.0,70676.0,2047.5,12600.0,6457.5
10,Base,11900.0,9100.0,19210.0,0.0,-16410.0,54266.0,2275.0,14000.0,7175.0
11,Base,13300.0,10010.0,19210.0,0.0,-15920.0,38346.0,2502.5,15400.0,7892.5
12,Base,14700.0,10920.0,19210.0,60000.0,-75430.0,-37084.0,2730.0,16800.0,8610.0
13,Base,16100.0,6750.0,39148.0,80000.0,-109798.0,-146882.0,1687.5,14000.0,8937.5
14,Base,15400.0,8100.0,39148.0,60000.0,-91848.0,-238730.0,2025.0,16800.0,10725.0
15,Base,15400.0,9450.0,39148.0,40000.0,-73198.0,-311928.0,2362.5,19600.0,12512.5
16,Base,18200.0,10800.0,39148.0,0.0,-31748.0,-343676.0,2700.0,22400.0,14300.0
17,Base,21000.0,12150.0,39148.0,0.0,-30298.0,-373974.0,3037.5,25200.0,16087.5
18,Base,23800.0,13500.0,39148.0,0.0,-28848.0,-402822.0,3375.0,28000.0,17875.0
